Selection	View	Channel	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Power (dB)	Occupancy	classification	Begin Time (s)	End Time (s)
1	Spectrogram 1	1	4.6080000000000005	40.0	75.0	83.4	0.9444	bdf	63497.854	63502.462
2	Spectrogram 1	1	4.864	40.0	75.0	91.3	1.0		65424.766	65429.63
3	Spectrogram 1	1	2.3040000000000003	40.0	75.0	77.4	0.7778	bdf	65443.454	65445.758
4	Spectrogram 1	1	2.048	40.0	75.0	83.5	0.75	bdf	65474.942	65476.99
5	Spectrogram 1	1	3.584	40.0	75.0	83.2	1.0	bdf	65670.013999	65673.598
6	Spectrogram 1	1	4.096	40.0	75.0	83.0	0.875	bdf	65832.83	65836.926
7	Spectrogram 1	1	2.3040000000000003	40.0	75.0	85.9	0.8889	bdf	65875.582	65877.886
8	Spectrogram 1	1	2.048	40.0	75.0	84.7	1.0	bdf	65997.95	65999.998
9	Spectrogram 1	1	5.888	40.0	75.0	88.0	1.0	bdf	66104.702	66110.59
10	Spectrogram 1	1	2.048	40.0	75.0	87.6	1.0		66240.382	66242.43
11	Spectrogram 1	1	6.144	40.0	75.0	87.8	0.9583	bdf	66555.262	66561.406
12	Spectrogram 1	1	2.3040000000000003	40.0	75.0	78.4	0.8889	bdf	66658.43	66660.734
13	Spectrogram 1	1	3.84	40.0	75.0	78.5	0.9333	bdf	66673.79	66677.63
14	Spectrogram 1	1	7.167999999999998	40.0	75.0	88.7	1.0	bdf	66710.398	66717.566
15	Spectrogram 1	1	2.56	40.0	75.0	83.2	1.0	bdt	67052.157999	67054.718
16	Spectrogram 1	1	6.144	40.0	75.0	86.5	1.0	bdf	67070.59	67076.734
17	Spectrogram 1	1	6.4	40.0	75.0	90.5	1.0	bdf	67192.702	67199.102
18	Spectrogram 1	1	6.144	40.0	75.0	90.8	1.0	bdf	67313.534	67319.678
19	Spectrogram 1	1	2.3040000000000003	40.0	75.0	80.0	0.8889	bdf	67486.334	67488.638
20	Spectrogram 1	1	2.8160000000000003	40.0	75.0	75.4	0.8182	bdf	68122.75	68125.566
21	Spectrogram 1	1	3.84	40.0	75.0	77.3	0.8	bdf	68164.477999	68168.318
22	Spectrogram 1	1	2.8160000000000003	40.0	75.0	75.4	0.8182	bdf	68313.725999	68316.542
23	Spectrogram 1	1	2.048	40.0	75.0	75.4	0.875	bdf	68458.365999	68460.414
24	Spectrogram 1	1	2.3040000000000003	40.0	75.0	70.4	0.7778	bdf	69052.542	69054.846
25	Spectrogram 1	1	2.56	40.0	75.0	76.3	1.0	bdf	69189.758	69192.318
26	Spectrogram 1	1	5.376	40.0	75.0	78.1	1.0	bdf	69317.502	69322.878
27	Spectrogram 1	1	4.6080000000000005	40.0	75.0	88.0	0.9444		69424.765999	69429.374
28	Spectrogram 1	1	3.3280000000000003	40.0	75.0	77.3	0.8462		69444.734	69448.062
29	Spectrogram 1	1	3.072	40.0	75.0	78.0	1.0		69448.83	69451.902
30	Spectrogram 1	1	2.3040000000000003	40.0	75.0	75.1	0.8889	bdf	69694.078	69696.382
31	Spectrogram 1	1	3.3280000000000003	40.0	75.0	76.5	0.9231	bdf	69775.998	69779.325999
32	Spectrogram 1	1	2.048	40.0	75.0	76.6	0.75	bdf	69780.094	69782.142
33	Spectrogram 1	1	2.3040000000000003	40.0	75.0	76.4	0.8889	bdf	69798.782	69801.085999
34	Spectrogram 1	1	2.048	40.0	75.0	80.7	1.0	bdf	69942.398	69944.446
35	Spectrogram 1	1	3.072	40.0	75.0	74.7	0.9167	bdf	69946.238	69949.31
36	Spectrogram 1	1	3.84	40.0	75.0	77.4	1.0	bdf	69952.126	69955.965999
